device_name,profile_name,chipset_family,notes
Generic Android,Android_Default,Generic,Fallback profile for unrecognized devices
Nvidia Shield Tablet,Android_TegraK1,Nvidia Tegra,Nvidia Tegra K1 · Kepler GPU (2014 tablet — legacy profile)
Poco X6 Pro 5G,Android_Mali_G61x,MediaTek,Dimensity 8300U · Mali G615 MC6
Poco X5 Pro 5G,Android_Adreno_7xx,Qualcomm,SD 778G · Adreno 642L
Poco F6,Android_Adreno_7xx,Qualcomm,SD 8s Gen 3 · Adreno 735
Poco F6 Pro,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
Poco F5,Android_Adreno_7xx,Qualcomm,SD 7+ Gen 2 · Adreno 725
Poco F4 GT,Android_Adreno_7xx,Qualcomm,SD 8 Gen 1 · Adreno 730
Poco F7,Android_Adreno825,Qualcomm,SD 8s Gen 4 · Adreno 825
Poco F7 Pro,Android_Adreno825,Qualcomm,SD 8s Gen 4 · Adreno 825
Xiaomi 16,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
Xiaomi 16 Ultra,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 · Adreno 840
Xiaomi 15,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
Xiaomi 15 Ultra,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
Xiaomi 15T Pro,Android_Adreno830,Qualcomm,SD 8 Elite · Adreno 830
Xiaomi 14,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
Xiaomi 14 Ultra,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
Xiaomi 14T Pro,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750
Xiaomi 13,Android_Adreno_8xx,Qualcomm,SD 8 Gen 2 · Adreno 740
Xiaomi 13T Pro,Android_Mali_Immortalis,MediaTek,Dimensity 9200+ · Immortalis G715
Xiaomi 12T Pro,Android_Adreno_8xx,Qualcomm,SD 8+ Gen 1 · Adreno 730
Xiaomi CIVI 5 Pro,Android_Adreno825,Qualcomm,SD 8s Gen 4 · Adreno 825
Redmagic 11 Pro+,Android_Adreno840,Qualcomm,SD 8 Gen 5 · Adreno 840
Redmi Note 14 Pro 5G,Android_Adreno810,Qualcomm,SD 7s Gen 3 · Adreno 810
Redmi Note 14 Pro+ 5G,Android_Adreno810,Qualcomm,SD 7s Gen 3 · Adreno 810
Redmi Note 13 Pro+ 5G,Android_Mali_G61x,MediaTek,Dimensity 7200 Ultra · Mali G610
Redmi Note 12 Turbo,Android_Adreno_7xx,Qualcomm,SD 7+ Gen 2 · Adreno 725
Redmi Turbo 4 Pro,Android_Adreno825,Qualcomm,SD 8s Gen 4 · Adreno 825
Samsung Galaxy S26 Ultra,Android_Adreno840,Qualcomm,SD 8 Elite Gen 5 for Galaxy · Adreno 840 (Global/US)
Samsung Galaxy S26,Android_Xclipse9xx,Samsung Exynos,Exynos 2600 · Xclipse 960 (Europe/Asia) / SD 8 Elite Gen 5 (US)
Samsung Galaxy S26+,Android_Xclipse9xx,Samsung Exynos,Exynos 2600 · Xclipse 960 (Europe/Asia) / SD 8 Elite Gen 5 (US)
Samsung Galaxy S25 Ultra,Android_Adreno830,Qualcomm,SD 8 Elite for Galaxy · Adreno 830
Samsung Galaxy S25+,Android_Adreno830,Qualcomm,SD 8 Elite for Galaxy · Adreno 830
Samsung Galaxy S25,Android_Adreno830,Qualcomm,SD 8 Elite for Galaxy · Adreno 830
Samsung Galaxy S24 Ultra,Android_Adreno_8xx,Qualcomm,SD 8 Gen 3 · Adreno 750 (Global)
