Phone (Examples),CPU / GPU,Config to Use
Galaxy S26 Ultra / OnePlus 15,Snapdragon 8 Elite Gen 5 / Adreno 840,Stable Config – A / (High Visuals) / Experimental
Xiaomi 17 / Xiaomi 17 Pro,Snapdragon 8 Elite Gen 5 / Adreno 840,Stable Config – A / (High Visuals) / Experimental
iQOO 15 Ultra / Realme GT 8 Pro,Snapdragon 8 Elite Gen 5 / Adreno 840,Stable Config – A / (High Visuals) / Experimental
Honor Magic 8 Pro / Vivo X300 Ultra,Snapdragon 8 Elite Gen 5 / Adreno 840,Stable Config – A / (High Visuals) / Experimental
Galaxy S25 Ultra / Xiaomi 15,Snapdragon 8 Elite / Adreno 830,Stable Config – A / (High Visuals) / Experimental
OnePlus 13 / Asus ROG Phone 9,Snapdragon 8 Elite / Adreno 830,Stable Config – A / (High Visuals) / Experimental
Honor Magic 7 Pro / iQOO 13,Snapdragon 8 Elite / Adreno 830,Stable Config – A / (High Visuals) / Experimental
Galaxy S24 Ultra / OnePlus 12,Snapdragon 8 Gen 3 / Adreno 750,Stable Config – A / (High Visuals)
Xiaomi 14 / Realme GT 6,Snapdragon 8 Gen 3 / Adreno 750,Stable Config – A / (High Visuals)
Asus ROG Phone 8 / Nubia RedMagic 9 Pro,Snapdragon 8 Gen 3 / Adreno 750,Stable Config – A / (High Visuals)
RedMagic Nova (Tablet) / RedMagic Astra (Tablet),Snapdragon 8 Gen 3 / Adreno 750,Stable Config – A / (High Visuals)
Vivo X200 Pro / Oppo Find X8 Pro,Dimensity 9400 / Immortalis-G925,Stable Config – A / (High Visuals)
Galaxy Tab S11 Ultra / Galaxy Tab S11,Dimensity 9400+ / Immortalis-G925,Stable Config – A / (High Visuals)
Vivo X100 Pro / Oppo Find X7 Ultra,Dimensity 9300 / Immortalis-G720,Stable Config – A / (High Visuals)
Vivo X100 / Galaxy Tab S10 Ultra / Tab S10+,Dimensity 9300+ / Immortalis-G720,Stable Config – A / (High Visuals)
Huawei MatePad Pro 12.2 (2024) / MatePad Pro 13.2 (2024),Kirin 9010W / Maleoon 910,Stable Config – A / (High Visuals)
iPhone 16 Pro / 16 Pro Max,Apple A18 Pro / Apple GPU,iPhones do not support configs
iPhone 17 Pro / 17 Pro Max,Apple A19 Pro / Apple GPU,iPhones do not support configs
iPhone 15 Pro / 15 Pro Max,Apple A17 Pro / Apple GPU,iPhones do not support configs
